id;src_col_id;def_description;def_sample_data
1;5782;Response;gold
2;56437;Licensed Rubber Cheese transmitter granular;focus group
3;9638;neural compressing;Function-based Iowa B2B
4;34369;Switzerland;Director monetize Dynamic
5;63932;Avon Hat Branding;circuit Generic Cotton Cheese Awesome Wooden Bacon
6;17005;Small info-mediaries;Director bandwidth optical
7;86963;Stream online;definition indexing
8;75030;synthesizing;Programmable Kuwaiti Dinar monitor
9;33808;indexing;Chair
10;82930;bypass;Cuban Peso Peso Convertible Tuna Circle
