id;unique_values;min_value;max_value;average_value;dp_source_columnscol;max_length;nulls
1;79255;Checking Account Money Market Account;Reverse-engineered;reboot;Massachusetts;76279;47193
2;2803;Buckinghamshire Table;black haptic Savings Account;Dynamic copy;strategy human-resource;45332;96022
3;32033;integrated models;Down-sized Wooden;Tasty;Refined;43298;99137
4;31354;embrace connecting;Product hierarchy program;multi-byte Iowa;capacitor 1080p;65966;41549
5;60604;Borders backing up;contingency web services Bermuda;Path compress;Granite Steel 24/7;64538;68727
6;48153;Mongolia Small Wooden Ball Regional;JSON Concrete Strategist;Bacon Handcrafted Steel Keyboard Djibouti Franc;Generic Dominican Peso Heights;45538;24166
7;65406;monitor vortals Burundi Franc;Bedfordshire;Producer;granular Direct;42377;48206
8;28178;Consultant Metrics;invoice emulation;models Berkshire;Saint Barthelemy Principal;81219;80099
9;82813;Greece Auto Loan Account Executive;integrated e-markets District;Central African Republic Licensed Fresh Chips;Mauritania sky blue Quality;82251;83839
10;83492;Licensed Fresh Tuna SAS;Fantastic Fresh Tuna;Lead convergence Fiji;Bedfordshire violet;21509;40904
