id;status_name;status_description
1;invoice architectures Product;SMTP
2;Orchestrator;lime Analyst
3;Isle of Man New Zealand Dollar;project teal object-oriented
4;Connecticut bypass hacking;invoice Grenada Assurance
5;Fundamental Buckinghamshire;Kentucky International 24/365
6;partnerships Integration Checking Account;Beauty applications deposit
7;reboot high-level Beauty;cultivate Books Accounts
8;connect;Connecticut North Carolina world-class
9;synergistic Cambridgeshire;Wooden
10;systems Cliffs;Strategist Villages 1080p
