id;std_name;std_description
1;Mission synergize;payment
2;quantifying olive;payment Streamlined Home Loan Account
3;invoice Computer synergize;Table real-time
4;unleash;Legacy Facilitator auxiliary
5;support directional Credit Card Account;zero tolerance value-added multi-byte
6;navigate TCP Credit Card Account;Refined Concrete Computer Hong Kong exuding
7;Home Loan Account solutions;Accountability Cocos (Keeling) Islands Borders
8;Senior;override engineer Savings Account
9;Music;deposit Alley Fresh
10;Configuration User-centric synthesizing;system Table
