id;col_type_name;col_type_description
1;Rustic Frozen Bike;payment Savings Account leading-edge
2;Licensed Granite Pants Flats Borders;methodical viral
3;enhance yellow Designer;Bedfordshire needs-based functionalities
4;paradigms Gorgeous Metal Fish backing up;Greece Iowa Isle
5;yellow Ohio connecting;Licensed Wooden Mouse Concrete Quality
6;1080p;Investment Account
7;Agent;interfaces Assurance
8;initiatives;Triple-buffered Forge Quality
9;Street;Unbranded Metal Keyboard Costa Rican Colon
10;hard drive Money Market Account invoice;generating calculating Customer
