id;col_name;col_data_type;is_primary_key;is_foreign_key;is_identity;is_null
1;overriding Virgin Islands, British Bulgarian Lev;Investment Account strategy synthesizing;true;false;false;false
2;Soap withdrawal;Direct open system optical;true;false;false;false
3;Ball sky blue;National whiteboard Wooden;false;false;true;false
4;Dynamic;New Jersey;false;false;false;true
5;Som embrace;Florida one-to-one value-added;false;false;false;false
6;XSS Technician deploy;Washington alarm;true;false;true;false
7;Cliff benchmark;Handmade Granite Soap;true;true;true;true
8;Sudanese Pound;Locks Unbranded;false;false;false;false
9;Product;bypass invoice;true;false;true;true
10;client-driven;Games capability;true;false;true;true
