id;dbms_type_name;dbsm_type_description
1;Gloves transform Tuna;deliver Palladium
2;AI Licensed Rubber Sausages;azure black withdrawal
3;reboot program Montana;Money Market Account Architect
4;backing up interface;connecting Home Loan Account
5;panel Awesome Frozen Keyboard Branding;International Executive
6;bypassing;Bedfordshire reintermediate Cameroon
7;redundant Junctions Baby;Cayman Islands Dollar bluetooth
8;granular gold Refined Metal Ball;optimizing
9;policy Applications;Surinam Dollar didactic Ergonomic
10;Concrete multi-byte auxiliary;pink Leone throughput
