id;store_name;store_description;store_size;growth_size
1;Colombian Peso Unidad de Valor Real deposit;card Reactive;74771;59043
2;Buckinghamshire matrix Specialist;Consultant copying Liaison;71656;33408
3;disintermediate sticky Unbranded Concrete Table;Macedonia generating Savings Account;42593;20718
4;Planner Garden Sleek Frozen Chair;Checking Account;75012;80823
5;Handcrafted Frozen Computer pink;Massachusetts;26635;23937
6;protocol solid state bluetooth;Generic Wooden Chair deposit;15932;48913
7;invoice;online District;84083;51165
8;Quality;Sri Lanka Rupee mission-critical;5335;6650
9;Cotton salmon;Intelligent ROI Tasty Steel Salad;89114;31534
10;Monitored;infomediaries;84924;7912
