id;etl_pkg_name;etl_pkg_description;etl_pkg_schedule
1;New Taiwan Dollar;leading-edge panel;Optimization Industrial Generic Wooden Cheese
2;info-mediaries process improvement Skyway;Bermudian Dollar (customarily known as Bermuda Dollar) District;Forges
3;Home;HDD Berkshire;channels systems supply-chains
4;hybrid;Refined Soft Sausages calculate Steel;back-end innovative
5;Gorgeous;Corporate;Forges Security
6;connect Home Loan Account;gold;Steel Home Loan Account
7;South Carolina Keyboard;iterate Checking Account Diverse;Advanced red
8;Home;Shirt ubiquitous withdrawal;Intelligent Cotton Car
9;revolutionize Licensed Fresh Tuna;experiences;Berkshire
10;projection Falkland Islands (Malvinas) methodologies;1080p Lead;Infrastructure
